,node,Collision_rate,Received Rate,Probability
0,0,0.650857420363048,52.02182540688445,0.1289547456948338
0,0,0.5605239771135819,7.8543164510994945,0.08488063660477453
0,0,1.042904544666044,63.85581263628652,0.13841623036649214
0,0,0.49589934511289,13.542349675250462,0.1009009009009009
0,0,0.4020085631528961,8.627702470783344,0.08781869688385269
0,0,1.3369475342861892,17.875240947820753,0.23193473193473196
0,0,0.1731806953687058,3.990637403571869,0.08021390374331551
0,0,0.31090716944021096,5.934721481677215,0.07539682539682539
0,0,0.5906574734173722,9.145707504469073,0.08923884514435695
0,0,0.8285673719671262,7.9956132313702195,0.08454810495626823
0,0,0.4411584570504141,19.87410973977736,0.10701956271576524
0,0,0.377824368718979,7.420349911232402,0.08015267175572519
0,0,0.7477409740157706,241.1283626153928,0.15603939865215138
0,0,1.1158832629515711,56.27159883340666,0.13365420214735282
0,0,0.6917414235197062,168.7019053256079,0.15594467707143764
0,0,0.5049807588763718,5.770911838894353,0.07581227436823104
0,0,0.6736094430263776,15.874017393318686,0.10182767624020887
0,0,1.0473997507580697,199.6152843246232,0.15490375802016498
1,2,0.38672930406459743,3.703103139680556,0.0
1,2,5617.977528033461,3.107869500087295,0.0
1,2,1.2385963069701384,3.68347903559328,0.0
1,2,0.40208260968836784,4.488355818862519,0.0
1,2,1.6040926877298805,15.349300181041365,0.0
1,2,0.13162323895491165,2.6679890996458058,0.0
1,2,0.7437487188056745,4.212167443332474,0.0
1,2,0.2514899501175322,4.709462479424269,0.0
1,2,0.0,2.4038125596138977,0.0
1,2,0.19002524352532585,3.3045578582090327,0.0
1,2,1043.782773147418,3.672630198804964,0.0
1,2,0.5505429472328146,5.147780448795993,0.0
1,2,0.27634631222666056,4.371157899417764,0.0
1,2,0.1768995221153226,3.891229712949496,0.0
1,2,0.12914870979970616,3.8183816200035565,0.0
1,2,3362.150700576793,1.8780101275982688,0.0
1,2,2.2314776302506885,3.2329067319179723,0.0
1,2,0.909884756727126,5.497423624032698,0.0
2,3,0.7401352680537245,8.286181177447409,0.020671834625323002
2,3,0.7376730329019847,10.273752048647255,0.008438818565400843
2,3,0.3843546268976457,4.459937582182961,0.009569377990430622
2,3,0.445027069675536,9.046426075293807,0.005405405405405407
2,3,1.3450971891485493,10.37362733257259,0.009259259259259259
2,3,0.5803270345196792,10.263799363943557,0.0
2,3,0.40050427428151736,5.722699932348402,0.00823045267489712
2,3,1.0089976215588128,14.887374149465478,0.0
2,3,0.7578731072234014,8.856461313521008,0.0106951871657754
2,3,0.8675057811869592,5.895168697489072,0.021505376344086027
2,3,1.6210110877789288,13.38365631589775,0.0
2,3,0.778199970854772,10.431502408712896,0.004662004662004662
2,3,0.6764383309077725,6.380270650510823,0.006688963210702341
2,3,0.6560421226779806,10.879013202245305,0.0
2,3,0.5033591581901977,18.133338538465853,0.21185372005044134
2,3,0.5917875139246707,10.739436253031103,0.007766990291262136
2,3,0.9562510706565991,11.715933577386545,0.005964214711729622
2,3,0.604074635018675,9.096023358906518,0.0047169811320754715
3,4,0.6832573058246227,31.029864052283248,0.3143049026192075
3,4,0.5704594274909255,38.631474583631594,0.29341963322545844
3,4,1.3243393445610432,12.73287235456351,0.0
3,4,1.5320811843862483,13.919386066093766,0.0
3,4,1.5132343437894182,11.356069928845315,0.0
3,4,0.6181062302774982,14.921009174905848,0.08379888268156424
3,4,1.8764329147468943,10.939637252543758,0.0
3,4,0.9940118490111888,17.961872958020326,0.06032482598607888
3,4,0.8272099973325222,10.43956786046718,0.0
3,4,1.0732301514684517,13.670908933981345,0.0
3,4,0.4478083193335704,6.6262945643979325,0.0
3,4,1.5425640200940849,12.023214881216694,0.0
3,4,0.9718526693023282,10.960493243525162,0.0
3,4,0.5720117412034236,9.918621262201476,0.0
3,4,1.09386485199903,8.585997684146818,0.0
3,4,1.1002448579400963,50.676704663984395,0.3273026315789473
3,4,0.9096201936307684,45.15340098313357,0.2824180895246885
3,4,13.048170550726562,11.045094108247119,0.0
4,5,0.8051509670084755,89.39769840207623,0.1483050847457627
4,5,0.9871383751799384,42.255097628895605,0.3238578680203046
4,5,1.1060178670048173,18.98013704040796,0.1909989023051592
4,5,0.9221096154223688,122.47285948808356,0.4030451522576129
4,5,1.3741321295485391,15.662118987186739,0.1241565452091768
4,5,0.8678632765255281,62.87124307647463,0.3895055499495459
4,5,3.7936488982680014,62.793465250999425,0.3459630130807397
4,5,1.3455200869824901,42.401568145223905,0.3038363171355499
4,5,0.854308564698875,18.20334073691905,0.09115281501340483
4,5,1.3335308066542175,12.233883489471426,0.03205128205128205
4,5,3.2173813660027557,53.594194984908754,0.33710308829926056
4,5,0.6983732137657679,8.247410049769076,0.042328042328042326
4,5,0.9147860324137164,15.740948700417814,0.14596273291925466
4,5,0.8403636962039228,9.578267906490488,0.030075187969924814
4,5,5.650973977002821,34.14617865370609,0.3025
4,5,2.288530329974782,17.153171403240712,0.168
4,5,0.8128335400974622,124.25900661639072,0.15543259557344066
4,5,0.3769036945672301,6.28824632706264,0.0299625468164794
5,6,0.41830180607880735,8.234671064640303,0.0728862973760933
5,6,0.9047343801499248,101.89487692878383,0.3785080355001199
5,6,0.3443420641813736,6.995520726360684,0.08502024291497975
5,6,1.5275531249681584,13.92018111792768,0.15562403697996918
5,6,0.7223355891192379,9.046058350858123,0.0630841121495327
5,6,0.7100541452440818,7.981070823964131,0.08967391304347826
5,6,0.6827235496635239,10.226851206650275,0.06486486486486487
5,6,0.5393558987806389,7.529396701678136,0.08978328173374613
5,6,0.4572701169154155,6.463104984029357,0.0695970695970696
