node,Collision_rate
0,0.5138669829622395
1,0.6279930045798261
2,0.3605326158684284
3,1.1303477403787288
4,1.2476365992521672
5,0.5625808376800825
6,0.3994100284912814
7,1.0197964699085853
8,1.280151582646489
9,0.46869983886874006
10,0.6931522575676548
11,0.5705857533271474
12,0.0
13,0.9982894616217213
14,0.970505619999272
15,1.2473002611315784
16,0.9149335013746707
17,0.66559866981934
18,1.1927545640249244
19,0.9981093027576088
20,1.4887720101869462
21,0.6892644689246176
22,0.3155571272441605
23,0.8598928240108131
24,0.35995479640152755
25,3.678123541913285
26,0.6654061826703538
27,1.1923354759329818
28,0.4281414029792978
29,0.9983348529228008
30,1.414662400014097
31,0.39950433035449334
32,0.3477013748282821
33,3.6781236794539827
34,0.8042104932662705
35,0.9981092754445183
36,0.6655565683937178
37,0.8317577276461214
38,0.4852112710297098
39,0.656462308444561
41,1.3864167489267882
42,0.8872082555889316
43,0.6101321140179827
44,0.7489389149538466
45,0.48502729784446014
46,0.0
47,0.4046605236014698
48,0.7764473573166295
49,0.8876313080892586
