node,Collision_rate,Received Rate,Probability
0,0.7737462575848612,537.3227469238915,0.045132022798650695
2,0.35351993287804145,4.8063722147818355,0.0
3,0.8790350660855671,12.606104252977566,0.0
4,1.5702310809346673,55.454708343482245,0.1089815858699737
5,1.5087018207458853,60.760891665893226,0.0
6,1.1769242770513582,18.795937588320452,0.0
7,1.5395613887538018,33.640390290445374,0.0
8,1.0215383953655617,6.650234577828321,0.0
9,0.6668840186174879,7.553323177914358,0.0
10,1.201411095333026,11.451894013594078,0.0
11,0.7314668815588898,10.951479236248435,0.0
12,3.0662547074620634,5.943340079607572,0.0
13,1.0778436775682823,35.24689697753491,0.0
14,1.1085712449529666,10.640949087511332,0.0
15,3.4936649426740547,883.8319855017936,0.0
16,0.8626535659457942,15.596903464211639,0.0
17,0.7396550325993848,15.180752959325599,0.0
18,0.8011362523108132,13.117489242569468,0.0
19,0.6470715881058149,12.440060216439106,0.0
20,3.018492547445145,21.56362933054526,0.0
21,0.9551241590790776,6.637815880652642,0.0
22,0.16469275843111097,3.605955617570087,0.0
23,1.3803009491968288,12.440426200795885,0.0
24,0.9963698924190061,8.405868321345594,0.0
25,1.5323075930483425,45.28932846449329,0.0
26,1.380300958308802,14.103598216767171,0.0
27,1.1393648905057636,10.979245202013614,0.0
28,1.4315831216089607,43.50361780703902,0.0
29,1.0169541920909946,16.79666527121787,0.0
30,2.4424642979023226,68.80018794395589,0.17495451788963007
31,1.365129929177745,9.721742518792707,0.0
32,0.4937429783807101,7.449887983536613,0.0
33,1.3407691439172995,7.604666344241518,0.0
34,1.5547103063376668,856.0634823266178,0.0
35,0.9550807337257007,16.427507792729564,0.0
36,1.020721679399561,15.211545514836864,0.0
37,0.7086082829723891,15.273130699597795,0.0
38,1.049126890621428,10.65269052913873,0.0
39,0.9221857276721482,7.237280946363804,0.0
41,1.4341350100917163,50.39632456138975,0.23841059602649006
42,0.9002926785776689,15.088375315813716,0.0
43,0.7396550325537938,15.180752960727961,0.0
44,1.2002617083516058,12.348373635731333,0.0
45,0.9847902000597475,9.782074493775497,0.0
46,0.30479079523697045,2.8023750449269915,0.0
47,1.7240309202370991,6.00404142059388,0.0
48,1.0163942987601946,10.028164223188622,0.0
49,1.140248622865596,12.688052959289038,0.0
