,node,Collision_rate,Received Rate,Probability
0,0,0.5712787640691569,1117.542145234557,0.07127011054976604
0,0,0.7737462575848612,537.3227469238915,0.045132022798650695
0,0,0.3239814612235407,775.8064615544909,0.0
0,0,0.24952130487159666,3.125114892882553,0.013605442176870748
0,0,0.9628458099179976,1192.3144044997987,0.02764284466189062
0,0,0.6230565346271271,203.18005090703426,0.19164971886589305
0,0,1.0648166950176214,1288.0453967883984,0.08465830974524867
0,0,0.8318595767085649,9.543503284322268,0.0
0,0,0.5687348992087353,215.649945849684,0.0863684668148005
0,0,1.0742357153605924,40.706772582291,0.003076923076923077
0,0,0.6519518138206765,7.647660799146304,0.006825938566552901
0,0,0.5709633144024884,8.430579213506727,0.0
0,0,0.6459788916567291,304.5922130959576,0.02828649138712602
0,0,0.6948953883376686,5.604273542031205,0.0
0,0,0.15853591515251042,5.020929084124612,0.04979253112033195
0,0,1.1361631595715576,7.187637070634817,0.0
0,0,1.6041028088091769,1314.7542394682648,0.12274391113505635
0,0,0.4119654079639937,29.750567353236285,0.11204481792717087
1,2,2676.9049357480303,1.4165705915714824,0.0
1,2,0.5814671128321507,4.263507950950655,0.0
1,2,0.11341194189482963,4.126101903713857,0.0
1,2,0.2432107728058773,3.926014306960608,0.0
1,2,0.11213145768184568,1.7371611841323549,0.0
1,2,0.6041282908297714,2.6615362217740404,0.0
1,2,0.3605326158684284,4.4343206827748265,0.0
1,2,,2.7409866225525024,0.0
1,2,,3.4869514410532165,0.0
1,2,0.35351993287804145,4.806372214781836,0.0
1,2,0.20847395230879864,3.980267492533645,0.0
1,2,0.4244679791755444,1.4731047273017537,0.0
1,2,5.400222651179908,5.418166432716314,0.0
1,2,150.40476177469333,2.8940385652098968,0.0
1,2,936.1052032478419,1.6629028382663371,0.0
1,2,3846.1538461549267,8.833635530200565,0.0
1,2,0.19368615083258328,4.060948964452038,0.0
1,2,0.13654840503484966,3.2801840987221165,0.0
2,3,0.489868849260016,60.79040767109747,0.3222488858416181
2,3,0.7940762537992738,7.7917327322991214,0.0
2,3,1.4282252782820994,24.06645998495293,0.0
2,3,0.6351365824244213,34.04583217219672,0.16901408450704225
2,3,1.5823237819349951,16.490373279919268,0.0
2,3,0.4702807561146701,7.171400073791193,0.0
2,3,0.7513075646479213,10.281977665800015,0.0
2,3,0.2509656992063009,4.035921622366711,0.0
2,3,0.8636638636386681,10.835406321141248,0.0
2,3,0.7419812795060411,11.306600607294161,0.0
2,3,0.3627839253329357,4.257662817789808,0.0
2,3,0.3562109105777018,3.5027943298566093,0.0
2,3,0.44802116590294494,6.4554723911145055,0.0
2,3,1.1303477403787288,10.914746998338156,0.0
2,3,1.7403842778881753,213.3822037996666,0.19328059380798907
2,3,1.0067538039675763,11.137198743063667,0.0
2,3,0.6891841369343741,8.227352890839658,0.0
2,3,0.8790350660855671,12.606104252977564,0.0
3,4,1.5235624114875266,62.14428420904324,0.22199865861837687
3,4,1.5390167511931598,95.94644014032028,0.0
3,4,1.323253423308815,60.01862458821078,0.0
3,4,2.815026176480463,163.67579080409982,0.21186656480774127
3,4,3.904310410325939,211.1696954695624,0.27119313135300505
3,4,1.3359505810973151,55.350509342461045,0.051957831325301206
3,4,2.2656376595746517,187.328964035912,0.2345088441428413
3,4,3.1793596323402045,243.97154099103597,0.1745963953190399
3,4,2.367273028709293,162.23784459000726,0.1269107257546564
3,4,1.5702310809346671,55.454708343482245,0.1089815858699737
3,4,3.274383279432143,199.64528595661773,0.2150313152400835
3,4,2.373748334395647,184.53643080854388,0.17594579333709767
3,4,1.4263412495177168,118.89106016518835,0.08974583698510079
3,4,3.129723579258532,234.01011649340927,0.13037670317926794
3,4,1.3179774076449529,59.580988783921725,0.15949632738719832
