node,Collision_rate,Received Rate,Probability
0,0.8318595767085649,9.54350328432227,0.0
2,,3.4869514410532165,0.0
3,0.7513075646479213,10.281977665800015,0.0
4,3.274383279432143,199.64528595661776,0.2150313152400835
5,2.34164025406473,181.1589642068272,0.0
6,4.371579012564212,48.37757737605644,0.0
7,1.2805504760441868,6.916798633708799,0.0
8,0.2870574355749656,18.0464978187642,0.0
9,0.5740457246133546,6.982644229180392,0.0
10,1.236712550120373,10.452200591452222,0.0
11,1.3688782766615208,14.459566285903335,0.0
12,1.9424933356113088,5.649130261650409,0.0
13,1.0593596094154467,45.04268128500273,0.0
14,0.5298485275272887,9.562847095318117,0.0
15,4.192219920843654,2368.8247464877622,0.0
16,0.839287987071273,13.049683407948471,0.0
17,5.492677086925679,12.576728915879993,0.0
18,0.9280347332946991,10.67913561034272,0.0
19,0.5278259671476213,10.237849106585871,0.0
20,2.208509286722142,16.53108785115078,0.0
21,0.44157363008674116,6.080243354743588,0.0
22,0.10047421012898253,3.1712122567622925,0.0
23,0.5746649096023595,10.193720340032746,0.0
24,5.185642568462766,6.98190453320822,0.0
25,0.4646550454415145,8.561672103356477,0.0
26,0.6626109988181724,11.694440432767173,0.0
27,0.8827221100369345,9.78318925205996,0.0
28,0.5549533938180625,8.252428609157137,0.0
29,0.7509418817758349,13.666898166139939,0.0
30,2.4162662610860965,249.25451195610495,0.3467101412925341
31,0.7506751831801247,8.428753978696273,0.0
32,0.601343703977517,7.0645307373503785,0.0
33,0.3827151296066343,7.943819524318682,0.0
34,1.7762959071840791,2219.881177863547,0.0
35,0.8392879867746816,13.490551092433698,0.0
36,0.6184227276161687,12.709115476037383,0.0
37,0.6184227275615333,12.709115458090539,0.0
38,1.4797603491324036,334.6769817220827,0.0
39,0.7068099988327471,7.602036386407618,0.0
41,0.9474447031145365,303.8553595361423,0.41799232035106965
42,4.394141798263752,12.709115598300277,0.0
43,5.492677092959579,12.576728916989989,0.0
44,0.5742496756182187,10.282350130279434,0.0
45,0.5236874482503995,7.582259053982094,0.0
46,,2.7807780580476704,0.0
47,0.4417562488801697,6.3541684574767086,0.0
48,0.7508205813421454,8.684331410967749,0.0
49,0.48603021317099004,10.944303864645555,0.0
