node,Collision_rate,Received Rate,Probability
0,0.24952130487159663,3.125114892882553,0.013605442176870748
2,936.105203247842,1.6629028382663371,0.0
3,0.3562109105777018,3.502794329856609,0.0
4,2.815026176480463,163.6757908040998,0.21186656480774127
5,1.44094149878587,273.2906421507708,0.2704124418693299
6,7.253961988657798,343.2817574973988,0.3158665283962667
7,0.2884036402596498,3.944967793166693,0.0
8,,2.0840662177130356,0.0
9,0.2662004391181084,1.9199494243903672,0.0
10,0.2883306054926642,2.9762999151306397,0.0
11,0.15528358996782313,2.80622565747313,0.0
12,0.0,1.6849345673993283,0.0
13,2.2269503075514083,267.9787116902217,0.26715201392735616
14,0.28818829975717397,2.383319910580419,0.0
15,2.6957168882739153,1818.943187268762,0.0
16,0.2218829172626564,3.7688335363844683,0.0
17,0.1134448422506955,3.791003148447646,0.0
18,0.34029328053514357,3.3043774323483883,0.0
19,0.2851699609177874,3.104784163383259,0.0
20,0.9401514584649147,63.704627032774695,0.0
21,0.22183369805451972,1.9207564644947779,0.0
22,0.09755218314583358,0.9758031714938239,0.0
23,0.2851699607686973,3.1047841604224984,0.0
24,0.17373934266795757,2.0408913400037725,0.0
25,,2.439091434702111,0.0
26,0.11341571094774278,3.591521255141064,0.0
27,0.31049233844374113,2.405387687370993,0.0
28,0.09277734456010096,2.228622425116431,0.0
29,0.199705680026222,4.1457168913096405,0.0
30,1.423842329509707,270.4502572213525,0.2635413367120684
31,0.24401190025238842,2.3811696982732813,0.0
32,0.13617249220926256,2.0408913574023164,0.0
33,,2.217355848893359,0.0
34,1.9002271951455758,1816.7175833922154,0.0
35,0.22188291726757967,3.9461904099971967,0.0
36,0.14260161128150234,3.857511973817484,0.0
37,0.14260161153230339,3.8575119738174846,0.0
38,0.2971688141988334,2.8062256220360697,0.0
39,0.26605511876191573,2.35985029007372,0.0
41,0.5763765995143479,3.2315874476565964,0.0
42,0.2268314196727379,3.792224963969232,0.0
43,0.11344484225326945,3.791003148447646,0.0
44,0.2268314214375584,2.970727608002909,0.0
45,0.2040107688648428,2.383881351279729,0.0
46,,0.798297220143675,0.0
47,0.0665385000408025,1.7959005726319524,0.0
48,0.199523779892174,2.3055063897265873,0.0
49,0.22683142061431852,2.970727604051317,0.0
